,country_code,co,o3,pm10,pm25,so2
84,TH,0.652719651425735,0.023427592660673104,37.04307295987425,18.503240417622173,0.0023539396773439324
85,TJ,,,,36.907630522088354,
86,TM,,,,17.90495867768595,
87,TR,1101.3795005675368,47.296179018286814,95.85582089552238,,76.40528497409328
88,TW,0.3498089171974522,0.02797225806451613,25.031446540880502,11.251572327044025,0.0024672955974842765
89,UG,,,,38.51063829787234,
90,US,0.23460898683878723,0.03619598592720631,26.410466994685116,6.468227580080074,0.0006549538425075658
91,UZ,,,,28.10655737704918,
92,VN,,,,26.8625,
93,XK,383.5,59.2329375,22.8599375,20.299465648854962,20.4715625
94,ZA,0.747326143004469,0.020323783226119677,40.27532480270061,22.661500299907303,0.00667357947845805
